name,description,delivered,expected,delivery_ratio,p0_delivery_seconds,p1_delivery_seconds,bundles_transferred,duplicate_bundles_suppressed,file_completion_ratio,battery_cost_estimate,acknowledgement_latency_seconds,unauthorized_rejections
1_critical_relay,A -> B -> C critical relay,1,1,1.0,30.0,,32,0,0.0,3.091,15.0,0
2_intermittent,"Link drops mid-transfer, then returns",1,1,1.0,,,55,0,1.0,11.792,,0
3_p0_vs_large_p3,P0 text competes with a large P3 file,1,1,1.0,,,72,0,0.0,33.916,,0
4_late_gateway,Gateway appears after 10 minutes,1,1,1.0,600.0,,32,0,0.0,3.091,,0
5_duplicate_reports,Two reports of one event cluster,2,2,1.0,,,18,1,0.0,1.572,,0
6_unauthorized,Unauthorized node requests medical content,0,0,0.0,,,0,0,0.0,0.0,,2
7_low_battery,Relay battery below threshold,1,1,1.0,,,34,0,0.0,3.115,,0
8_file_interruption,Attachment transfer interrupted then resumed,1,1,1.0,,,30,0,1.0,6.657,,0
9_ai_unavailable,AI service unavailable,1,1,1.0,,,16,0,0.0,1.546,,0
10_conflicting,Conflicting counts for one event,2,2,1.0,,,18,0,0.0,1.571,,0
